station,capacity,lat,lon,region
Cleveland Pl & Spring St,33,40.722103786686034,-73.99724900722504,71
Grand Army Plaza & Central Park S,96,40.7643971,-73.97371465,71
Broadway & E 14 St,114,40.73454567,-73.99074142,71
Lafayette St & E 8 St,47,40.73020660529954,-73.99102628231049,71
Norfolk St & Broome St,59,40.7172274,-73.98802084,71
W 31 St & 7 Ave,55,40.749156,-73.9916,71
Centre St & Chambers St,39,40.71273266,-74.0046073,71
West St & Chambers St,81,40.71754834,-74.01322069,71
W 21 St & 6 Ave,74,40.74173969,-73.99415556,71
Broadway & W 58 St,79,40.76695317,-73.98169333,71
S 4 St & Wythe Ave,25,40.71285887,-73.96590294,71
W 22 St & 10 Ave,77,40.74691959,-74.00451887,71
11 Ave & W 41 St,55,40.76030096,-73.99884222,71
Broadway & W 29 St,41,40.7462009,-73.98855723,71
E 16 St & 5 Ave,65,40.73726186,-73.99238967,71
6 Ave & W 33 St,52,40.74901271,-73.98848395,71
12 Ave & W 40 St,51,40.76087502,-74.00277668,71
S 5 Pl & S 5 St,43,40.710451,-73.960876,71
Wythe Ave & Metropolitan Ave,57,40.716887,-73.963198,71
Central Park S & 6 Ave,73,40.76590936,-73.97634151,71
Kent Ave & N 7 St,54,40.72036775298455,-73.96165072917938,71
N 6 St & Bedford Ave,28,40.71745169,-73.95850939,71
Milton St & Franklin St,33,40.72906,-73.95779,71
Queens Plaza North & Crescent St,39,40.75110165,-73.94073717,71
5 Ave & E 72 St,31,40.77282817,-73.96685276,71
1 Ave & E 78 St,57,40.77140426,-73.9535166,71
1 Ave & E 68 St,62,40.76500525,-73.95818491,71
1 Ave & E 62 St,45,40.7612274,-73.96094022,71
Grove St PATH,42,40.71958611647166,-74.04311746358871,70
West Drive & Prospect Park West,29,40.6610633719006,-73.97945255041122,71
Hanson Pl & Ashland Pl,39,40.68506807308177,-73.97790759801863,71
Grand St & Elizabeth St,45,40.718822,-73.99596,71
Broadway & W 25 St,73,40.74286877312112,-73.98918628692627,71
E 33 St & 1 Ave,83,40.74322681432173,-73.97449783980846,71
7 Ave & Central Park South,81,40.7667405590595,-73.9790689945221,71
6 Ave & W 34 St,67,40.74964,-73.98805,71
8 Ave & W 16 St,36,40.740983,-74.001702,71
West St & Liberty St,32,40.711444,-74.014847,71
E 161 St & River Ave,38,40.827883,-73.927111,71
10 Ave & W 14 St,55,40.741981599940225,-74.00831580162048,71
South Waterfront Walkway - Sinatra Dr & 1 St,30,40.73698221818716,-74.02778059244156,311
Hoboken Terminal - River St & Hudson Pl,46,40.7360676564825,-74.02912706136703,311
E Fordham Rd & Webster Ave,35,40.861748,-73.89105,71
Broadway & E 21 St,54,40.739888408589955,-73.98958593606949,71
Broadway & Berry St,34,40.71036129922581,-73.96530389785767,71
