emdatCity,emdatCountry,gglCountryAscii,gglAddressAscii,gglLat,gglLong
Alaotra-Mangoro,Madagascar,Madagascar,"Ambatondrazaka, Madagascar",-17.8237,48.4263
Amoron'i Mania,Madagascar,Madagascar,"Ambositra, Madagascar",-20.5167,47.25
Analamanga,Madagascar,Madagascar,"Antananarivo, Madagascar",-18.9085,47.5375
Analanjirofo,Madagascar,Madagascar,"Fenoarivo Atsinanana, Madagascar",-17.3843,49.4098
Androy,Madagascar,Madagascar,"Ambovombe-Androy, Madagascar",-25.17613271,46.08937803
Anosy,Madagascar,Madagascar,"Taolagnaro, Madagascar",-25.0316,46.99
Atsimo-Andrefana,Madagascar,Madagascar,"Toliara, Madagascar",-23.35,43.6667
Atsimo-Atsinanana,Madagascar,Madagascar,"Farafangana, Madagascar",-22.8167,47.8167
Atsinanana,Madagascar,Madagascar,"Toamasina, Madagascar",-18.1499,49.4023
Betsiboka,Madagascar,Madagascar,"Maevatanana, Madagascar",-16.9504,46.8281
Boeny,Madagascar,Madagascar,"Mahajanga, Madagascar",-15.7167,46.3167
Bongolava,Madagascar,Madagascar,"Tsiroanomandidy, Madagascar",-18.7698,46.05
Diana,Madagascar,Madagascar,"Antsiranana, Madagascar",-12.2667,49.2833
Haute Matsiatra,Madagascar,Madagascar,"Fianarantsoa, Madagascar",-21.447,47.0872
Ihorombe,Madagascar,Madagascar,"Ihosy, Madagascar",-22.3961,46.1217
Itasy,Madagascar,Madagascar,"Miarinarivo, Madagascar",-18.9608,46.9036
Melaky,Madagascar,Madagascar,"Maintirano, Madagascar",-18.0646,44.0295
Menabe,Madagascar,Madagascar,"Morondava, Madagascar",-20.2847,44.3175
Sava,Madagascar,Madagascar,"Sambava, Madagascar",-14.2667,50.1667
Sofia,Madagascar,Madagascar,"Antsohihy, Madagascar",-14.8762,47.9835
Vakinankaratra,Madagascar,Madagascar,"Antsirabe, Madagascar",-19.8667,47.0333
Vatovavy,Madagascar,Madagascar,"Mananjary, Madagascar",-21.2367,48.3461
Vatovavy-Fitovinany,Madagascar,Madagascar,"Manakara, Madagascar",-22.15,48
