ItemName,Warehouse(Region),gglAddress,gglCountry,Total
Blankets,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,975018
Buckets,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,234005
Clothes,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,585011
HygieneAndDignityKits,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,117003
Kitchenset,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,117003
Mosquitonets,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,234005
Otherlampslanterns,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,117003
PersonalProtectionEquipmentkit(PPE),Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,585011
SafeDeliverykits,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,5851
SchoolPlaykits,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,14626
ShelterToolKit,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,117003
Sleepingmats,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,585011
Tarpaulins,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,234005
Tents,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,117003
WaterContainers,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,234005
