Item,Disaster Type,Month,gglCountry,PersonsPerItem
Blankets,DEFAULT,DEFAULT,DEFAULT,0.6
Buckets,DEFAULT,DEFAULT,DEFAULT,2.5
Clothes,DEFAULT,DEFAULT,DEFAULT,1
HygieneAndDignityKits,DEFAULT,DEFAULT,DEFAULT,5
Kitchenset,DEFAULT,DEFAULT,DEFAULT,5
Mosquitonets,DEFAULT,DEFAULT,DEFAULT,2.5
Otherlampslanterns,DEFAULT,DEFAULT,DEFAULT,5
PersonalProtectionEquipmentkit(PPE),DEFAULT,DEFAULT,DEFAULT,1
SafeDeliverykits,DEFAULT,DEFAULT,DEFAULT,100
SchoolPlaykits,DEFAULT,DEFAULT,DEFAULT,40
ShelterToolKit,DEFAULT,DEFAULT,DEFAULT,5
Sleepingmats,DEFAULT,DEFAULT,DEFAULT,1
Tarpaulins,DEFAULT,DEFAULT,DEFAULT,2.5
Tents,DEFAULT,DEFAULT,DEFAULT,5
WaterContainers,DEFAULT,DEFAULT,DEFAULT,2.5
Blankets,DEFAULT,-1,DEFAULT,0.6
Buckets,DEFAULT,-1,DEFAULT,2.5
Clothes,DEFAULT,-1,DEFAULT,1
HygieneAndDignityKits,DEFAULT,-1,DEFAULT,5
Kitchenset,DEFAULT,-1,DEFAULT,5
Mosquitonets,DEFAULT,-1,DEFAULT,2.5
Otherlampslanterns,DEFAULT,-1,DEFAULT,5
PersonalProtectionEquipmentkit(PPE),DEFAULT,-1,DEFAULT,1
SafeDeliverykits,DEFAULT,-1,DEFAULT,100
SchoolPlaykits,DEFAULT,-1,DEFAULT,40
ShelterToolKit,DEFAULT,-1,DEFAULT,5
Sleepingmats,DEFAULT,-1,DEFAULT,1
Tarpaulins,DEFAULT,-1,DEFAULT,2.5
Tents,DEFAULT,-1,DEFAULT,5
WaterContainers,DEFAULT,-1,DEFAULT,2.5
