Day,Month,Year,origDistrict,Type,DisasterID,TotAffected,gglCountry,gglAddress
16.0,1.0,1985,Penama,Storm,1985-0020-VUT,28870.0,Vanuatu,"Penama, Vanuatu"
16.0,1.0,1985,Sanma,Storm,1985-0020-VUT,42148.0,Vanuatu,"Sanma, Vanuatu"
7.0,2.0,1987,Shefa,Storm,1987-0057-VUT,33969.0,Vanuatu,"Shefa, Vanuatu"
7.0,2.0,1987,Tafea,Storm,1987-0057-VUT,14031.0,Vanuatu,"Tafea, Vanuatu"
11.0,1.0,1988,Sanma,Storm,1988-0040-VUT,3903.0,Vanuatu,"Sanma, Vanuatu"
11.0,1.0,1988,Torba,Storm,1988-0040-VUT,797.0,Vanuatu,"Torba, Vanuatu"
,8.0,1988,Malampa,Storm,1988-0676-VUT,636.0,Vanuatu,"Malampa, Vanuatu"
,8.0,1988,Shefa,Storm,1988-0676-VUT,1364.0,Vanuatu,"Shefa, Vanuatu"
9.0,3.0,1992,Shefa,Storm,1992-0050-VUT,1150.0,Vanuatu,"Shefa, Vanuatu"
30.0,3.0,1993,Shefa,Storm,1993-0024-VUT,12005.0,Vanuatu,"Shefa, Vanuatu"
21.0,3.0,1998,Sanma,Storm,1998-0090-VUT,1254.0,Vanuatu,"Sanma, Vanuatu"
21.0,3.0,1998,Tafea,Storm,1998-0090-VUT,890.0,Vanuatu,"Tafea, Vanuatu"
21.0,3.0,1998,Torba,Storm,1998-0090-VUT,256.0,Vanuatu,"Torba, Vanuatu"
27.0,11.0,1999,Malampa,Earthquake,1999-0524-VUT,3526.0,Vanuatu,"Malampa, Vanuatu"
27.0,11.0,1999,Penama,Earthquake,1999-0524-VUT,3016.0,Vanuatu,"Penama, Vanuatu"
27.0,11.0,1999,Shefa,Earthquake,1999-0524-VUT,7558.0,Vanuatu,"Shefa, Vanuatu"
7.0,4.0,2001,Malampa,Storm,2001-0143-VUT,130.0,Vanuatu,"Malampa, Vanuatu"
7.0,4.0,2001,Penama,Storm,2001-0143-VUT,112.0,Vanuatu,"Penama, Vanuatu"
7.0,4.0,2001,Sanma,Storm,2001-0143-VUT,163.0,Vanuatu,"Sanma, Vanuatu"
7.0,4.0,2001,Shefa,Storm,2001-0143-VUT,280.0,Vanuatu,"Shefa, Vanuatu"
7.0,4.0,2001,Tafea,Storm,2001-0143-VUT,115.0,Vanuatu,"Tafea, Vanuatu"
8.0,6.0,2001,Malampa,Volcanic activity,2001-0254-VUT,1627.0,Vanuatu,"Malampa, Vanuatu"
3.0,1.0,2002,Shefa,Earthquake,2002-0002-VUT,500.0,Vanuatu,"Shefa, Vanuatu"
27.0,11.0,2002,Torba,Earthquake,2002-0770-VUT,503.0,Vanuatu,"Torba, Vanuatu"
21.0,12.0,2002,Tafea,Flood,2002-0829-VUT,3001.0,Vanuatu,"Tafea, Vanuatu"
25.0,2.0,2004,Malampa,Storm,2004-0080-VUT,11057.0,Vanuatu,"Malampa, Vanuatu"
25.0,2.0,2004,Penama,Storm,2004-0080-VUT,9458.0,Vanuatu,"Penama, Vanuatu"
25.0,2.0,2004,Shefa,Storm,2004-0080-VUT,23703.0,Vanuatu,"Shefa, Vanuatu"
25.0,2.0,2004,Tafea,Storm,2004-0080-VUT,9791.0,Vanuatu,"Tafea, Vanuatu"
27.0,11.0,2005,Penama,Volcanic activity,2005-0664-VUT,5000.0,Vanuatu,"Penama, Vanuatu"
9.0,5.0,2006,Malampa,Volcanic activity,2006-0281-VUT,1572.0,Vanuatu,"Malampa, Vanuatu"
,12.0,2008,Malampa,Volcanic activity,2008-0659-VUT,7275.0,Vanuatu,"Malampa, Vanuatu"
15.0,4.0,2009,Malampa,Flood,2009-0171-VUT,950.0,Vanuatu,"Malampa, Vanuatu"
26.0,11.0,2009,Torba,Volcanic activity,2009-0553-VUT,400.0,Vanuatu,"Torba, Vanuatu"
12.0,1.0,2011,Tafea,Storm,2011-0071-VUT,32000.0,Vanuatu,"Tafea, Vanuatu"
9.0,3.0,2014,Malampa,Storm,2014-0096-VUT,3636.0,Vanuatu,"Malampa, Vanuatu"
9.0,3.0,2014,Penama,Storm,2014-0096-VUT,3110.0,Vanuatu,"Penama, Vanuatu"
9.0,3.0,2014,Sanma,Storm,2014-0096-VUT,4540.0,Vanuatu,"Sanma, Vanuatu"
9.0,3.0,2014,Shefa,Storm,2014-0096-VUT,7794.0,Vanuatu,"Shefa, Vanuatu"
9.0,3.0,2014,Torba,Storm,2014-0096-VUT,927.0,Vanuatu,"Torba, Vanuatu"
12.0,3.0,2015,Malampa,Storm,2015-0093-VUT,29428.0,Vanuatu,"Malampa, Vanuatu"
12.0,3.0,2015,Penama,Storm,2015-0093-VUT,25173.0,Vanuatu,"Penama, Vanuatu"
12.0,3.0,2015,Sanma,Storm,2015-0093-VUT,36751.0,Vanuatu,"Sanma, Vanuatu"
12.0,3.0,2015,Shefa,Storm,2015-0093-VUT,63087.0,Vanuatu,"Shefa, Vanuatu"
12.0,3.0,2015,Tafea,Storm,2015-0093-VUT,26059.0,Vanuatu,"Tafea, Vanuatu"
12.0,3.0,2015,Torba,Storm,2015-0093-VUT,7500.0,Vanuatu,"Torba, Vanuatu"
30.0,11.0,2016,Malampa,Epidemic,2016-0528-VUT,63.0,Vanuatu,"Malampa, Vanuatu"
30.0,11.0,2016,Sanma,Epidemic,2016-0528-VUT,79.0,Vanuatu,"Sanma, Vanuatu"
30.0,11.0,2016,Shefa,Epidemic,2016-0528-VUT,136.0,Vanuatu,"Shefa, Vanuatu"
30.0,11.0,2016,Tafea,Epidemic,2016-0528-VUT,56.0,Vanuatu,"Tafea, Vanuatu"
30.0,11.0,2016,Torba,Epidemic,2016-0528-VUT,16.0,Vanuatu,"Torba, Vanuatu"
7.0,5.0,2017,Malampa,Storm,2017-0231-VUT,1024.0,Vanuatu,"Malampa, Vanuatu"
7.0,5.0,2017,Sanma,Storm,2017-0231-VUT,1279.0,Vanuatu,"Sanma, Vanuatu"
7.0,5.0,2017,Torba,Storm,2017-0231-VUT,261.0,Vanuatu,"Torba, Vanuatu"
23.0,9.0,2017,Penama,Volcanic activity,2017-0394-VUT,11000.0,Vanuatu,"Penama, Vanuatu"
,3.0,2018,Penama,Volcanic activity,2018-0147-VUT,6300.0,Vanuatu,"Penama, Vanuatu"
15.0,12.0,2018,Malampa,Volcanic activity,2018-0456-VUT,7286.0,Vanuatu,"Malampa, Vanuatu"
6.0,4.0,2020,Malampa,Storm,2020-0132-VUT,23646.0,Vanuatu,"Malampa, Vanuatu"
6.0,4.0,2020,Penama,Storm,2020-0132-VUT,20227.0,Vanuatu,"Penama, Vanuatu"
6.0,4.0,2020,Sanma,Storm,2020-0132-VUT,29530.0,Vanuatu,"Sanma, Vanuatu"
6.0,4.0,2020,Shefa,Storm,2020-0132-VUT,50691.0,Vanuatu,"Shefa, Vanuatu"
6.0,4.0,2020,Torba,Storm,2020-0132-VUT,6026.0,Vanuatu,"Torba, Vanuatu"
21.0,10.0,2021,Tafea,Volcanic activity,2021-0847-VUT,3586.0,Vanuatu,"Tafea, Vanuatu"
